"school";"gender";"age";"address";"famSize";"pStatus";"mEdu";"fEdu";"mJob";"fJob";"reason";"traveltime";"studytime";"failures";"schoolsup";"famsup";"paid";"activities";"nursery";"higher";"internet";"romantic";"famrel";"goout";"alc";"health";"g1";"g2";"pass"
0;0;18;0;0;0;4;4;0;1;0;2;2;0;1;0;0;0;1;1;0;0;4;4;0;3;5;6;0
0;0;17;0;0;1;1;1;0;4;0;1;2;0;0;1;0;0;0;1;1;0;5;3;0;3;5;5;0
0;0;15;0;0;1;1;1;0;4;3;1;2;3;1;0;1;0;1;1;1;0;4;2;0;3;7;8;1
0;0;15;0;0;1;4;2;3;2;1;1;3;0;0;1;1;1;1;1;1;1;3;2;0;5;15;14;1
0;0;16;0;0;1;3;3;4;4;1;1;2;0;0;1;1;0;1;1;0;0;4;2;0;5;6;10;1
0;1;16;0;0;1;4;3;2;4;2;1;2;0;0;1;1;1;1;1;1;0;5;2;0;5;15;15;1
0;1;16;0;0;1;2;2;4;4;1;1;2;0;0;0;0;0;1;1;1;0;4;4;0;3;12;12;1
0;0;17;0;0;0;4;4;4;1;1;2;2;0;1;1;0;0;1;1;0;0;4;4;0;1;6;5;0
0;1;15;0;0;0;3;2;2;4;1;1;2;0;0;1;1;0;1;1;1;0;4;2;0;1;16;18;1
0;1;15;0;0;1;3;4;4;4;1;1;2;0;0;1;1;1;1;1;1;0;5;1;0;5;14;15;1
0;0;15;0;0;1;4;4;1;3;2;1;2;0;0;1;1;0;1;1;1;0;3;3;0;2;10;8;0
0;0;15;0;0;1;2;1;2;4;2;3;3;0;0;1;0;1;1;1;1;0;5;2;0;4;10;12;1
0;1;15;0;0;1;4;4;3;2;0;1;1;0;0;1;1;1;1;1;1;0;4;3;0;5;14;14;1
0;1;15;0;0;1;4;3;1;4;0;2;2;0;0;1;1;0;1;1;1;0;5;3;0;3;10;10;1
0;1;15;0;0;0;2;2;4;4;1;1;3;0;0;1;0;0;1;1;1;1;4;2;0;3;14;16;1
0;0;16;0;0;1;4;4;3;4;1;1;1;0;0;1;0;0;1;1;1;0;4;4;0;2;14;14;1
0;0;16;0;0;1;4;4;2;2;2;1;3;0;0;1;1;1;1;1;1;0;3;3;0;2;13;14;1
0;0;16;0;0;1;3;3;4;4;2;3;2;0;1;1;0;1;1;1;0;0;5;2;0;4;8;10;1
0;1;17;0;0;1;3;2;2;2;0;1;1;3;0;1;0;1;1;1;1;0;5;5;0;5;6;5;0
0;1;16;0;0;1;4;3;3;4;1;1;1;0;0;0;1;1;1;1;1;0;3;3;0;5;8;10;1
0;1;15;0;0;1;4;3;1;4;2;1;2;0;0;0;0;0;1;1;1;0;4;1;0;1;13;14;1
0;1;15;0;0;1;4;4;3;3;3;1;1;0;0;1;1;0;1;1;1;0;5;2;0;5;12;15;1
0;1;16;0;0;1;4;2;1;4;0;1;2;0;0;0;0;1;1;1;1;0;4;1;0;5;15;15;1
0;1;16;0;0;1;2;2;4;4;2;2;2;0;0;1;0;1;1;1;1;0;5;4;0;5;13;13;1
0;0;15;1;0;1;2;4;2;3;0;1;3;0;1;1;1;1;1;1;1;0;4;2;0;5;10;9;0
