Start station,Start time,End station,End time
291,2016-09-01 06:00:02 +0200,301,2016-09-01 06:06:06 +0200
291,2016-09-01 06:07:14 +0200,267,2016-09-01 06:12:35 +0200
291,2016-09-01 06:37:48 +0200,261,2016-09-01 06:49:49 +0200
267,2016-09-01 06:56:30 +0200,291,2016-09-01 07:01:57 +0200
237,2016-09-01 06:57:43 +0200,291,2016-09-01 07:08:22 +0200
161,2016-09-01 07:08:52 +0200,291,2016-09-01 08:51:57 +0200
287,2016-09-01 07:12:11 +0200,291,2016-09-01 07:18:33 +0200
291,2016-09-01 07:20:46 +0200,195,2016-09-01 07:27:02 +0200
291,2016-09-01 07:22:01 +0200,220,2016-09-01 07:31:46 +0200
291,2016-09-01 07:24:51 +0200,267,2016-09-01 07:29:02 +0200
291,2016-09-01 07:27:39 +0200,208,2016-09-01 07:34:01 +0200
190,2016-09-01 07:31:23 +0200,291,2016-09-01 07:39:35 +0200
291,2016-09-01 07:32:33 +0200,226,2016-09-01 07:40:44 +0200
291,2016-09-01 07:33:07 +0200,181,2016-09-01 07:41:54 +0200
291,2016-09-01 07:33:59 +0200,190,2016-09-01 07:39:21 +0200
291,2016-09-01 07:41:35 +0200,164,2016-09-01 07:47:01 +0200
211,2016-09-01 07:51:52 +0200,291,2016-09-01 08:11:49 +0200
291,2016-09-01 08:15:29 +0200,287,2016-09-01 08:23:13 +0200
247,2016-09-01 08:43:03 +0200,291,2016-09-01 08:54:03 +0200
291,2016-09-01 08:53:43 +0200,269,2016-09-01 09:00:55 +0200
291,2016-09-01 08:55:31 +0200,301,2016-09-01 09:03:29 +0200
291,2016-09-01 08:56:37 +0200,164,2016-09-01 09:00:53 +0200
291,2016-09-01 08:59:40 +0200,273,2016-09-01 10:47:15 +0200
291,2016-09-01 09:00:58 +0200,164,2016-09-01 09:05:32 +0200
291,2016-09-01 09:01:51 +0200,226,2016-09-01 09:07:12 +0200
291,2016-09-01 10:36:21 +0200,281,2016-09-01 10:44:46 +0200
291,2016-09-01 10:41:09 +0200,267,2016-09-01 10:51:22 +0200
291,2016-09-01 11:11:14 +0200,291,2016-09-01 11:43:07 +0200
291,2016-09-01 11:11:14 +0200,291,2016-09-01 11:43:07 +0200
291,2016-09-01 11:20:45 +0200,274,2016-09-01 11:46:56 +0200
291,2016-09-01 11:26:45 +0200,291,2016-09-01 12:38:15 +0200
291,2016-09-01 11:26:45 +0200,291,2016-09-01 12:38:15 +0200
291,2016-09-01 11:27:03 +0200,203,2016-09-01 12:48:45 +0200
291,2016-09-01 11:32:32 +0200,206,2016-09-01 12:05:11 +0200
291,2016-09-01 11:37:06 +0200,291,2016-09-01 12:52:17 +0200
291,2016-09-01 11:37:06 +0200,291,2016-09-01 12:52:17 +0200
291,2016-09-01 11:40:18 +0200,291,2016-09-01 11:50:07 +0200
291,2016-09-01 11:40:18 +0200,291,2016-09-01 11:50:07 +0200
291,2016-09-01 11:46:04 +0200,192,2016-09-01 11:55:02 +0200
291,2016-09-01 11:51:15 +0200,253,2016-09-01 11:59:29 +0200
291,2016-09-01 11:54:23 +0200,170,2016-09-01 12:03:52 +0200
220,2016-09-01 11:57:10 +0200,291,2016-09-01 14:59:57 +0200
267,2016-09-01 12:05:38 +0200,291,2016-09-01 12:14:06 +0200
291,2016-09-01 12:08:25 +0200,255,2016-09-01 12:37:03 +0200
291,2016-09-01 12:08:31 +0200,183,2016-09-01 12:32:03 +0200
291,2016-09-01 12:25:04 +0200,283,2016-09-01 12:52:14 +0200
269,2016-09-01 13:01:06 +0200,291,2016-09-01 13:11:29 +0200
291,2016-09-01 13:02:29 +0200,181,2016-09-01 13:14:06 +0200
291,2016-09-01 13:02:55 +0200,181,2016-09-01 13:14:10 +0200
267,2016-09-01 13:23:09 +0200,291,2016-09-01 13:29:53 +0200
291,2016-09-01 13:26:43 +0200,280,2016-09-01 13:33:15 +0200
291,2016-09-01 13:27:32 +0200,164,2016-09-01 13:31:33 +0200
157,2016-09-01 13:34:09 +0200,291,2016-09-01 14:54:09 +0200
291,2016-09-01 13:55:55 +0200,198,2016-09-01 13:59:35 +0200
291,2016-09-01 13:59:31 +0200,192,2016-09-01 14:08:25 +0200
291,2016-09-01 14:01:55 +0200,206,2016-09-01 14:51:00 +0200
291,2016-09-01 14:04:38 +0200,177,2016-09-01 14:23:05 +0200
234,2016-09-01 14:05:03 +0200,291,2016-09-01 14:19:38 +0200
